PlayerName,Matches,Innings,NotOut,Runs,HighestScore,Average,Centuries,HalfCenturies,Ducks,Country,FirstMatch,LastMatch,CenturyConversion,DuckPercentage,NotOutPercentage,FiftyPlusScorePercentage,CareerLength,MatchesPerYear,CurrentPlayer
CB Fry,26,41,3,1223,144,32.18,2,7,3,ENG,1896,1912,0.2222,0.0732,0.0732,0.2195,16,1.62,0
S Wettimuny,23,43,1,1221,190,29.07,2,6,5,SL,1982,1987,0.25,0.1163,0.0233,0.186,5,4.6,0
JN Gillespie,71,93,28,1218,201,18.73,1,2,13,AUS,1996,2006,0.3333,0.1398,0.3011,0.0323,10,7.1,0
Haroon Rasheed,23,36,1,1217,153,34.77,3,5,2,PAK,1977,1983,0.375,0.0556,0.0278,0.2222,6,3.83,0
G Miller,34,51,4,1213,98,25.8,0,7,5,ENG,1976,1984,0.0,0.098,0.0784,0.1373,8,4.25,0
VS Ransford,20,38,6,1211,143,37.84,1,7,2,AUS,1907,1912,0.125,0.0526,0.1579,0.2105,5,4.0,0
MDK Perera,41,73,8,1208,95,18.58,0,6,13,SL,2014,2019,0.0,0.1781,0.1096,0.0822,5,8.2,1
SA Durani,29,50,2,1202,104,25.04,1,7,4,IND,1960,1973,0.125,0.08,0.04,0.16,13,2.23,0
DN Patel,37,66,8,1200,99,20.68,0,5,10,NZ,1987,1997,0.0,0.1515,0.1212,0.0758,10,3.7,0
MW Tate,39,52,5,1198,100,25.48,1,5,5,ENG,1924,1935,0.1667,0.0962,0.0962,0.1154,11,3.55,0
AF Kippax,22,34,1,1192,146,36.12,2,8,1,AUS,1925,1934,0.2,0.0294,0.0294,0.2941,9,2.44,0
JHW Fingleton,18,29,1,1189,136,42.46,5,3,3,AUS,1932,1938,0.625,0.1034,0.0345,0.2759,6,3.0,0
M Labuschagne,13,21,0,1185,185,56.42,3,7,1,AUS,2018,2019,0.3,0.0476,0.0,0.4762,1,13.0,1
CP Mead,17,26,2,1185,182,49.37,4,3,3,ENG,1911,1928,0.5714,0.1154,0.0769,0.2692,17,1.0,0
